Темкина А. А.;3
Троицкий А.;3
Уорд П.;3
Чернышов А. В.;3
Чуковская Е. Э.;3
Шабаев М.;3
Шилина М. Г.;3
Юнг К. Г.;3
Юткевич С. И.;3
Ямпольский М. Б.;3
M. U.;2
М. С.;2
С. A.;2
Aaker J.;2
Adams G. L.;2
Aggarwal P.;2
Ahuvia A.;2
Alexander J.;2
Alice E.;2
Alto P.;2
Anderson B.;2
Archambault D.;2
Ardon S.;2
Armstrong D.;2
Bagozzi R. P.;2
Banks J.;2
Bartky S. L.;2
Batra R.;2
Bell D.;2
Bendazzi G.;2
Benkler Y.;2
Bennett T.;2
Bergh J.;2
Binnie J.;2
Bogost I.;2
Bolding J.;2
Borghol Y.;2
Brand S.;2
Brems C.;2
Brinson S. L.;2
Broersma M.;2
Brown B.;2
Bruns A.;2
Burgess J.;2
Burton J.;2
Butler J.;2
By N.;2
Calleja G.;2
Campbell S.;2
Cantoni L.;2
Carrier D.;2
Castoriadis C.;2
Cedrola E.;2
Chen S.;2
Cheng P.;2
Choi B.;2
Choi J.;2
Chua B. H.;2
Cloud S.;2
Cohn M.;2
Croteau D.;2
Crouch D.;2
Deci E. L.;2
Dolzhenko G. P.;2
Donald K.;2
Donovan T.;2
Douglas P.;2
Dowell W. S.;2
Eco U.;2
Epley N.;2
Eubank L.;2
Fahey C.;2
Fichter D.;2
Fraser N.;2
Frith J.;2
Fullerton T.;2
Gambarato R.;2
Garritano T.;2
Gee O.;2
Gerring J.;2
Geuens M.;2
Giesen B.;2
Glantz M.;2
Graham T.;2
Greene J.;2
Groensteen T.;2
Haenlein M.;2
Hartmut K.;2
Hawkesworth M. E.;2
Heck A.;2
Hine C.;2
Hoffman C.;2
Houseman M.;2
Howe N.;2
Humphreys L.;2
Hunter J. D.;2
Iwabuchi K.;2
James M.;2
Jenner M.;2
Jin B.;2
Johnson D.;2
Ju H.;2
Jung C. G.;2
Kang J.;2
Katz E.;2
Kim B.;2
Kim S.;2
Kim Y.;2
Kim Y. Y.;2
King G.;2
Klevjer R.;2
Kolozaridi P.;2
Kondakov A. A.;2
Ksiazek T. B.;2
Kuntsman A.;2
Kwak H.;2
Lasswell H.;2
Lazarsfeld P. F.;2
Lee M.;2
Lee S.;2
Lieser W.;2
Lippell H.;2
Long G.;2
Long G. A.;2
Lorenzen M.;2
Madsen C.;2
Malone T. W.;2
Margitu S.;2
Marinescu V.;2
Markham A. N.;2
Markman K. M.;2
Martin C.;2
Marwick A.;2
Matthew P.;2
Mayer R. E.;2
Menduni E.;2
Meskin A.;2
Messerlin P.;2
Minsky L.;2
Munroe R. M.;2
Murray J.;2
Neil G.;2
Neuman R.;2
Newman J.;2
Newman M. E.;2
Nielsen S.;2
Nitsche M.;2
Obar J. A.;2
Orchiston W.;2
Otmazgin N.;2
Park G. S.;2
Parry R.;2
Parsons T.;2
Paul C.;2
Pelizza A.;2
Pelsmacker P.;2
Phillips A.;2
Picard R. G.;2
Pickton D.;2
Piercy N.;2
Pink S.;2
Posner M. I.;2
Postill J.;2
Press P.;2
Puzakova M.;2
Quandt T.;2
Reavey B.;2
Richardson J.;2
Rogers T.;2
Rombes N.;2
Rowsey D.;2
Rushfield R.;2
Ryan M. L.;2
Ryan P.;2
Ryan R. M.;2
Ryoo W.;2
Salen K.;2
Sarkar S.;2
Sawyer C. E.;2
Schloesser T.;2
Schmitt B.;2
Schutz А.;2
Scolari C. A.;2
Scоtt A. О.;2
Sheldon L.;2
Shell J.;2
Sinclair B.;2
Smith J.;2
Smith M.;2
Smith P. K.;2
Snyder C. R.;2
Stellman A.;2
Strauss W.;2
Telotte J. P.;2
Temmerman M.;2
The B.;2
Thompson J.;2
Trench B.;2
Turner G.;2
Valck M.;2
Veale K.;2
Venter J.;2
Visser J.;2
Vogler C.;2
Walsh J.;2
Ward S. J.;2
Warman P.;2
Waytz A.;2
Wegner D. M.;2
Wells H. G.;2
Wildman S.;2
William S. C.;2
Williams R.;2
Wingstedt J.;2
Winston B.;2
