Адорно Т.;5
Арендт Х.;5
Барабанов Б.;5
Белл Д.;5
Бердяев Н. А.;5
Ветрова Т. Н.;5
Герасименко А. С.;5
Дженкинс Г.;5
Джулай Л. Н.;5
Домнин В. Н.;5
Карамзин Н. М.;5
Кирия И. В.;5
Лукина М. М.;5
Мисонжников Б. Я.;5
Мур А.;5
Муратов С. А.;5
Мурза С. Г.;5
Остервальдер А.;5
Почепцов Г. Г.;5
Прохоров А. В.;5
Рихтер А. Г.;5
Сегер Л.;5
Седита С.;5
Троицкий А.;5
Федоров Н. Ф.;5
Фомичева И. Д.;5
Франк Г.;5
Хайдеггер М.;5
Шариков А. В.;5
Шергова К. А.;5
N. Y.;4
Bonini T.;4
Bordwell D.;4
Cave S.;4
Cohen S.;4
Edelman M.;4
Entman R. M.;4
Febvre L. E.;4
Fournier S.;4
Greenhill E.;4
Hepp A.;4
Hjarvard S.;4
Hugh S.;4
Hutcheon L.;4
Illouz E.;4
In J. E.;4
Jin D. Y.;4
Jodelet D.;4
Katz E.;4
Katz J. E.;4
Klesse C.;4
Lie J.;4
Long G.;4
Manovich L.;4
Marwick A. E.;4
Oh I.;4
Peaslee R. M.;4
Rheingold H.;4
Sarcinelli U.;4
Weiner R. G.;4
Williams R.;4
Адорно Т. В.;4
Бронников И. А.;4
Вертов Д.;4
Волынец М. М.;4
Гамбарато Р. Р.;4
Гофман И.;4
Долинин Д. А.;4
Дондурей Д.;4
Зельвенский С.;4
Иванов А. А.;4
Ильченко С. Н.;4
Кастельс М.;4
Качкаева А.;4
Квале С.;4
Князев А.;4
Князев А. А.;4
Корконосенко С. Г.;4
Кузьмин А. Г.;4
Кульчицкая Д.;4
Кэмпбелл Д.;4
Ларин О. С.;4
Левашов В.;4
Ломоносова М. В.;4
Лосев А. Ф.;4
Лотман Ю.;4
Макеенко М. И.;4
Малинова О. Ю.;4
Манн И.;4
Мельник Г. С.;4
Моравидж А. О.;4
Новикова А. А.;4
Познин В. Ф.;4
Поцелуев С. П.;4
Пронин А. А.;4
Пропп В.;4
Пушкина А. С.;4
Разлогов К.;4
Разлогов К. Э.;4
Саблина Т. А.;4
Сафонова К.;4
Свитич Л. Г.;4
Симмонс А.;4
Смирнов В. В.;4
Тартаковская И. Н.;4
Тынянов Ю. Н.;4
Уорд П.;4
Хальбвакс М.;4
Цынарева Н. А.;4
Шведова Н. Ю.;4
Эйзенштейн С.;4
Юнг К. Г.;4
М. С.;3
С. A.;3
Aaker D. A.;3
Anderson C.;3
Bartle R.;3
Bauman Z.;3
Boswell M.;3
Boyd D.;3
Branch J.;3
Bruns A.;3
Burn S. J.;3
Burnett R.;3
Butler J.;3
Carey J. W.;3
Chen J.;3
Cohen M.;3
Costa E.;3
Dihal K.;3
Dijk T.;3
Donald J.;3
Donald K.;3
Douglas K. M.;3
Douglas P.;3
Dovey J.;3
Doyle G.;3
Eyerman R.;3
Frasca G.;3
Frith S.;3
Gibson J.;3
Gill A. L.;3
Gomez J.;3
Grincheva N.;3
Haenlein M.;3
Heraud R.;3
In J.;3
In M. A.;3
In W.;3
Jenner M.;3
Johnson D.;3
Kapferer J. N.;3
Kim S.;3
Kosterich A.;3
Labov W.;3
Lasswell H.;3
Lindgren M.;3
Lister M.;3
Luhmann N.;3
Margitu S.;3
Markman K. M.;3
Mathijs E.;3
Meskin A.;3
Modigliani A.;3
Norton W. W.;3
Osterwalder A.;3
Pantti M.;3
Phillips A.;3
Pigneur Y.;3
Pink S.;3
Prosser M. H.;3
Richardson J.;3
Rowsey D.;3
Ryan M. L.;3
Salen K.;3
Schiller H. I.;3
Schmitt B.;3
Schulz W.;3
Scolari C. A.;3
Seger L.;3
Skarlatidou A.;3
Slota T.;3
Smith A.;3
Smith J. H.;3
Snijders T. A.;3
Taneja H.;3
Thompson K.;3
Tosca S. P.;3
Travis R.;3
Treem J. W.;3
Urry J.;3
Vanstone G.;3
Visser J.;3
Vogler C.;3
Weber M. S.;3
Welters L.;3
Wildman S.;3
Yoon K.;3
Zimmerman E.;3
of J.;3
Абдрахманова Г. И.;3
Александров Е. В.;3
Алексеев Г. В.;3
Алешинская Е. В.;3
Аникина М. Е.;3
Бакунина Е. В.;3
Балаш Б.;3
Березин О.;3
Богородский С. В.;3
Булаева М. Н.;3
Бычков В. В.;3
Бэдли Х.;3
Вайнштейн Л. А.;3
Вартановой Е. Л.;3
Волков Д.;3
Галицкая О.;3
Галустян А.;3
Гиппиус З. Н.;3
Голышева В.;3
Горький М.;3
Гохберг Л. М.;3
Грабельников А. А.;3
Гройс Б.;3
Даль В. И.;3
Делез Ж.;3
Джеймисон Ф.;3
Дмитриев А. В.;3
Дорофеева А. А.;3
Дубин Б.;3
Дускаева Л. Р.;3
Егоркина С. Б.;3
Заломкина Г. В.;3
Иваницкий В. Л.;3
Иванов Г. П.;3
Иванов Н. В.;3
Ильченко О.;3
Истомина М.;3
Карпова С. В.;3
Кассиль Л. А.;3
Ким М. Н.;3
Кичин В.;3
Клушина Н. И.;3
Козырев Г. И.;3
Колесникова Н. А.;3
Коломиец В. П.;3
Кон И.;3
Кон И. С.;3
Корте Г.;3
Кракауэр З.;3
Кранк Э. О.;3
Круткин В. Л.;3
Кузелин В. А.;3
Леви Т. С.;3
Лезников П.;3
Литвиненко А. А.;3
Лобачевского Н. И.;3
Луначарский А. В.;3
Майоров Н.;3
Макклауд С.;3
Малькова Л. Ю.;3
Мамлеева Л.;3
Мелетинский Е. М.;3
